Item,Description,Quantity,Price ($),URL,Running Total
Raspberry Pi Pico,MCU,1,$3.95,https://www.pishop.us/product/raspberry-pi-pico/?srsltid=AfmBOor29YDlRob1JJph2Q1QT-VeA2uOIgOy5Yc6gBU_7IDCbvj4NdHE,$3.95
MOA Profile Keycaps,Keycaps,10,$2.53,https://www.aliexpress.us/item/3256811424441007.html,$6.48
Cherry MX Switches,Key Switches,10,$0.99,https://www.aliexpress.us/item/3256804099108371.html,$7.47
24 AWG Wires, For hand wiring, 5, $3.24,https://www.aliexpress.us/item/3256805264231583.html,$10.71
EC11 Rotary Encoder,15MM Half Shaft Rotary Encoder,$1,$1.71,https://www.aliexpress.us/item/3256804241801182.html,$12.42
